G;FAC;FACAZS210100001;AIX;VTE;20210102;;EUR;;;;;;;;;;;;;;
D;1;1;AIX;;707000;;VENTES BOUTIQUE 020121;-1;11727.09;EUR;;;;;;;;;;;
D;1;2;AIX;;707000;;VENTES BOUTIQUE 020121;-1;11727.09;EUR;;;;;;;;;;;
A;1;AX1;1502;AX2;;AX3;AIX;;;;;;;;;;;;;0;11727.09
D;2;1;AIX;;445713;;VENTES BOUTIQUE 020121;-1;2345.42;EUR;;;;;;;;;;;
D;3;1;AIX;;707001;;VENTES BOUTIQUE 020121;-1;244.99;EUR;;;;;;;;;;;
D;3;2;AIX;;707001;;VENTES BOUTIQUE 020121;-1;244.99;EUR;;;;;;;;;;;
A;1;AX1;1502;AX2;;AX3;AIX;;;;;;;;;;;;;0;244.99
D;4;1;AIX;;445715;;VENTES BOUTIQUE 020121;-1;13.47;EUR;;;;;;;;;;;
D;5;1;AIX;C1;411000;AIXESP;VENTES BOUTIQUE 020121;1;2539.06;EUR;;;;;;;;;;;
D;6;1;AIX;C1;411000;AIXCHQ;VENTES BOUTIQUE 020121;1;17.8;EUR;;;;;;;;;;;
D;7;1;AIX;C1;411000;AIXCB;VENTES BOUTIQUE 020121;1;11558.16;EUR;;;;;;;;;;;
D;8;1;AIX;;467500;;VENTES BOUTIQUE 020121;1;215.95;EUR;;;;;;;;;;;
